numParticles,clusterRadius
10,3
20,4
30,5
40,6
50,7
60,7
70,7
80,8
90,8
100,9
110,10
120,10
130,10
140,11
150,11
160,11
170,11
180,12
190,14
200,14
210,14
220,15
230,15
240,16
250,16
260,16
270,16
280,17
290,17
300,18
310,18
320,18
330,19
340,19
350,19
360,19
370,20
380,20
390,20
400,20
410,21
420,21
430,22
440,22
450,22
460,22
470,23
480,23
490,24
500,24
510,25
520,25
530,25
540,25
550,25
560,25
570,25
580,25
590,25
600,25
610,26
620,26
630,26
640,26
650,27
660,27
670,28
680,28
690,28
700,28
710,28
720,28
730,28
740,29
750,30
760,30
770,30
780,30
790,30
800,30
810,30
820,30
830,30
840,30
850,30
860,30
870,30
880,30
890,30
900,31
910,32
920,32
930,33
940,33
950,33
960,33
970,33
980,34
990,34
1000,34
10,3
20,5
30,5
40,7
50,7
60,8
70,9
80,10
90,10
100,10
110,10
120,11
130,11
140,13
150,14
160,14
170,14
180,14
190,14
200,15
210,15
220,15
230,16
240,16
250,16
260,16
270,16
280,17
290,17
300,18
310,18
320,18
330,18
340,18
350,19
360,19
370,19
380,19
390,19
400,19
410,19
420,20
430,20
440,21
450,21
460,22
470,22
480,22
490,22
500,22
510,22
520,22
530,23
540,23
550,23
560,25
570,25
580,25
590,26
600,26
610,26
620,26
630,26
640,26
650,26
660,27
670,27
680,27
690,27
700,27
710,27
720,27
730,27
740,27
750,27
760,28
770,28
780,28
790,28
800,28
810,28
820,29
830,29
840,29
850,29
860,29
870,29
880,29
890,29
900,30
910,30
920,31
930,31
940,31
950,31
960,31
970,32
980,32
990,32
1000,32
10,3
20,6
30,7
40,8
50,8
60,9
70,11
80,11
90,11
100,11
110,11
120,12
130,13
140,13
150,14
160,14
170,14
180,14
190,14
200,14
210,14
220,15
230,16
240,16
250,17
260,17
270,17
280,17
290,17
300,18
310,18
320,18
330,19
340,19
350,19
360,19
370,19
380,19
390,19
400,19
410,20
420,21
430,21
440,21
450,21
460,21
470,21
480,22
490,22
500,23
510,24
520,24
530,24
540,24
550,25
560,25
570,25
580,25
590,25
600,25
610,25
620,26
630,26
640,26
650,26
660,26
670,26
680,26
690,26
700,26
710,26
720,27
730,27
740,28
750,29
760,29
770,29
780,29
790,29
800,30
810,30
820,32
830,32
840,33
850,34
860,34
870,34
880,34
890,34
900,34
910,35
920,35
930,35
940,35
950,35
960,37
970,38
980,38
990,38
1000,38
10,4
20,4
30,5
40,6
50,7
60,7
70,7
80,8
90,8
100,8
110,9
120,10
130,12
140,12
150,13
160,13
170,13
180,13
190,13
200,13
210,14
220,14
230,14
240,14
250,14
260,14
270,14
280,14
290,14
300,15
310,15
320,15
330,16
340,16
350,17
360,17
370,18
380,18
390,18
400,18
410,18
420,18
430,18
440,19
450,19
460,19
470,19
480,19
490,19
500,19
510,20
520,20
530,20
540,21
550,21
560,21
570,21
580,21
590,22
600,22
610,22
620,22
630,22
640,22
650,23
660,23
670,24
680,25
690,25
700,25
710,26
720,26
730,26
740,27
750,27
760,27
770,27
780,27
790,29
800,29
810,29
820,29
830,29
840,29
850,30
860,30
870,30
880,32
890,32
900,32
910,32
920,32
930,33
940,33
950,33
960,33
970,33
980,33
990,33
1000,33
10,2
20,4
30,6
40,7
50,8
60,8
70,8
80,9
90,10
100,10
110,10
120,10
130,11
140,11
150,11
160,11
170,13
180,13
190,13
200,13
210,13
220,14
230,14
240,14
250,15
260,15
270,15
280,17
290,18
300,18
310,19
320,19
330,19
340,19
350,19
360,19
370,20
380,20
390,20
400,20
410,21
420,21
430,21
440,21
450,21
460,22
470,22
480,22
490,22
500,22
510,22
520,23
530,23
540,23
550,24
560,24
570,24
580,24
590,24
600,24
610,24
620,24
630,24
640,25
650,25
660,26
670,26
680,27
690,27
700,27
710,27
720,27
730,27
740,27
750,27
760,27
770,28
780,29
790,29
800,29
810,29
820,29
830,30
840,30
850,30
860,30
870,30
880,30
890,30
900,30
910,30
920,31
930,31
940,32
950,32
960,32
970,32
980,32
990,32
1000,32
