numParticles,clusterRadius
10,3
20,5
30,6
40,8
50,10
60,10
70,11
80,11
90,13
100,14
110,15
120,16
130,16
140,17
150,18
160,20
170,20
180,21
190,21
200,22
210,22
220,22
230,23
240,23
250,24
260,24
270,24
280,25
290,25
300,27
310,28
320,28
330,28
340,28
350,29
360,30
370,30
380,30
390,31
400,31
410,31
420,32
430,32
440,33
450,35
460,35
470,35
480,37
490,37
500,37
510,38
520,38
530,39
540,39
550,39
560,39
570,40
580,41
590,42
600,42
610,42
620,42
630,42
640,42
650,42
660,42
670,42
680,42
690,43
700,43
710,43
720,43
730,43
740,43
750,44
760,44
770,45
780,45
790,46
800,46
810,47
820,47
830,47
840,47
850,49
860,49
870,49
880,49
890,49
900,49
910,50
920,50
930,50
940,50
950,51
960,52
970,52
980,52
990,52
1000,52
10,3
20,4
30,8
40,9
50,10
60,12
70,15
80,16
90,16
100,18
110,18
120,18
130,18
140,18
150,19
160,19
170,19
180,19
190,19
200,20
210,20
220,21
230,21
240,22
250,23
260,23
270,24
280,24
290,25
300,25
310,25
320,25
330,25
340,25
350,25
360,26
370,26
380,27
390,27
400,27
410,28
420,28
430,29
440,29
450,29
460,29
470,30
480,30
490,30
500,30
510,31
520,31
530,32
540,32
550,32
560,32
570,32
580,32
590,32
600,32
610,32
620,33
630,33
640,34
650,34
660,34
670,34
680,34
690,34
700,34
710,34
720,35
730,36
740,36
750,36
760,36
770,37
780,37
790,37
800,37
810,37
820,37
830,38
840,38
850,38
860,38
870,39
880,39
890,39
900,40
910,40
920,40
930,40
940,40
950,40
960,40
970,41
980,41
990,42
1000,43
10,5
20,8
30,11
40,11
50,11
60,12
70,12
80,12
90,12
100,13
110,13
120,13
130,14
140,14
150,16
160,17
170,18
180,18
190,19
200,19
210,19
220,21
230,21
240,21
250,21
260,23
270,26
280,26
290,26
300,26
310,27
320,29
330,29
340,29
350,29
360,29
370,29
380,29
390,30
400,30
410,31
420,31
430,31
440,33
450,33
460,33
470,34
480,34
490,34
500,34
510,34
520,35
530,36
540,36
550,37
560,37
570,38
580,38
590,38
600,38
610,38
620,38
630,38
640,40
650,40
660,40
670,40
680,40
690,40
700,40
710,40
720,40
730,41
740,42
750,42
760,43
770,43
780,44
790,45
800,45
810,46
820,46
830,46
840,46
850,46
860,46
870,46
880,46
890,47
900,47
910,47
920,48
930,48
940,49
950,49
960,49
970,49
980,49
990,49
1000,49
10,4
20,8
30,10
40,11
50,11
60,12
70,12
80,13
90,13
100,14
110,15
120,15
130,15
140,16
150,18
160,18
170,18
180,18
190,19
200,20
210,21
220,22
230,22
240,24
250,24
260,25
270,25
280,25
290,27
300,28
310,28
320,28
330,28
340,30
350,30
360,31
370,31
380,31
390,31
400,31
410,32
420,32
430,33
440,33
450,34
460,34
470,34
480,35
490,35
500,35
510,36
520,36
530,36
540,36
550,36
560,36
570,36
580,36
590,37
600,37
610,37
620,37
630,38
640,38
650,38
660,38
670,40
680,41
690,42
700,42
710,42
720,42
730,42
740,42
750,42
760,42
770,43
780,43
790,43
800,43
810,45
820,46
830,46
840,46
850,47
860,47
870,47
880,48
890,48
900,48
910,48
920,48
930,48
940,48
950,49
960,49
970,49
980,50
990,50
1000,52
10,5
20,7
30,8
40,10
50,11
60,11
70,11
80,12
90,13
100,13
110,14
120,14
130,15
140,15
150,15
160,15
170,15
180,15
190,15
200,18
210,18
220,18
230,18
240,18
250,19
260,19
270,19
280,19
290,21
300,21
310,21
320,22
330,22
340,23
350,23
360,23
370,23
380,24
390,25
400,26
410,26
420,26
430,27
440,28
450,28
460,28
470,28
480,29
490,29
500,29
510,29
520,29
530,29
540,29
550,31
560,31
570,31
580,32
590,32
600,32
610,33
620,33
630,33
640,33
650,34
660,34
670,35
680,35
690,36
700,36
710,37
720,37
730,38
740,38
750,38
760,39
770,39
780,39
790,39
800,40
810,40
820,40
830,40
840,40
850,40
860,41
870,42
880,42
890,43
900,43
910,43
920,43
930,43
940,43
950,43
960,44
970,44
980,45
990,45
1000,46
