numParticles,clusterradius
10,3
20,4
30,6
40,7
50,8
60,8
70,9
80,12
90,12
100,13
110,14
120,16
130,17
140,17
150,19
160,20
170,21
180,21
190,22
200,22
210,23
220,23
230,23
240,24
250,24
260,24
270,24
280,25
290,25
300,25
310,25
320,26
330,26
340,27
350,28
360,28
370,28
380,28
390,28
400,28
410,28
420,30
430,30
440,31
450,31
460,32
470,32
480,32
490,32
500,32
510,33
520,33
530,33
540,33
550,34
560,34
570,34
580,36
590,36
600,37
610,38
620,38
630,38
640,38
650,38
660,38
670,38
680,38
690,38
700,39
710,39
720,39
730,39
740,39
750,40
760,41
770,41
780,41
790,41
800,41
810,41
820,41
830,41
840,41
850,42
860,43
870,43
880,43
890,43
900,43
910,44
920,44
930,44
940,45
950,45
960,45
970,46
980,46
990,47
1000,48
10,3
20,4
30,4
40,5
50,10
60,13
70,13
80,14
90,15
100,15
110,16
120,16
130,17
140,18
150,18
160,18
170,18
180,19
190,22
200,23
210,24
220,24
230,25
240,25
250,25
260,25
270,26
280,27
290,29
300,30
310,30
320,30
330,30
340,30
350,30
360,30
370,31
380,31
390,32
400,32
410,33
420,33
430,33
440,34
450,34
460,34
470,34
480,34
490,35
500,35
510,35
520,35
530,35
540,36
550,39
560,40
570,40
580,40
590,40
600,40
610,40
620,40
630,40
640,40
650,41
660,41
670,41
680,42
690,42
700,42
710,42
720,42
730,42
740,42
750,42
760,42
770,42
780,42
790,42
800,42
810,42
820,42
830,42
840,42
850,43
860,43
870,45
880,45
890,45
900,45
910,45
920,45
930,45
940,46
950,46
960,47
970,47
980,47
990,47
1000,48
10,4
20,4
30,6
40,6
50,8
60,9
70,9
80,10
90,11
100,13
110,13
120,13
130,14
140,14
150,16
160,17
170,18
180,18
190,20
200,20
210,21
220,21
230,22
240,22
250,22
260,23
270,23
280,24
290,24
300,24
310,25
320,25
330,26
340,26
350,27
360,29
370,29
380,30
390,30
400,30
410,30
420,30
430,31
440,31
450,31
460,31
470,31
480,31
490,32
500,33
510,34
520,34
530,35
540,36
550,36
560,37
570,38
580,38
590,38
600,38
610,38
620,39
630,40
640,40
650,40
660,40
670,40
680,41
690,41
700,41
710,41
720,41
730,41
740,42
750,42
760,43
770,43
780,43
790,43
800,43
810,43
820,43
830,43
840,44
850,44
860,44
870,45
880,46
890,47
900,47
910,47
920,47
930,47
940,47
950,47
960,48
970,48
980,48
990,48
1000,48
10,2
20,4
30,5
40,8
50,8
60,9
70,10
80,10
90,11
100,13
110,13
120,14
130,16
140,16
150,18
160,18
170,19
180,20
190,20
200,21
210,22
220,22
230,23
240,23
250,26
260,27
270,28
280,29
290,29
300,29
310,30
320,30
330,30
340,30
350,31
360,32
370,32
380,32
390,33
400,33
410,34
420,34
430,34
440,35
450,35
460,35
470,37
480,37
490,38
500,39
510,41
520,41
530,41
540,42
550,43
560,44
570,44
580,44
590,44
600,45
610,46
620,46
630,46
640,46
650,47
660,47
670,47
680,49
690,49
700,49
710,50
720,50
730,51
740,51
750,51
760,51
770,52
780,52
790,53
800,53
810,53
820,53
830,54
840,54
850,54
860,55
870,56
880,57
890,57
900,58
910,58
920,58
930,59
940,60
950,61
960,61
970,61
980,61
990,62
1000,63
10,3
20,4
30,7
40,9
50,9
60,9
70,9
80,9
90,10
100,11
110,12
120,13
130,14
140,15
150,15
160,16
170,17
180,18
190,19
200,19
210,20
220,21
230,21
240,22
250,22
260,22
270,22
280,23
290,23
300,23
310,24
320,25
330,26
340,27
350,28
360,28
370,28
380,29
390,30
400,31
410,31
420,31
430,32
440,32
450,32
460,33
470,34
480,35
490,35
500,36
510,37
520,37
530,38
540,39
550,39
560,40
570,40
580,40
590,40
600,41
610,41
620,41
630,41
640,41
650,41
660,41
670,41
680,42
690,42
700,43
710,44
720,44
730,44
740,45
750,46
760,46
770,46
780,47
790,47
800,47
810,48
820,48
830,50
840,50
850,50
860,51
870,51
880,51
890,52
900,52
910,52
920,52
930,53
940,55
950,55
960,55
970,55
980,55
990,55
1000,55
