numParticles,clusterRadius
10,3
20,6
30,9
40,13
50,19
60,21
70,25
80,28
90,31
100,31
110,31
120,31
130,31
140,33
150,35
160,37
170,38
180,39
190,40
200,41
210,41
220,43
230,44
240,44
250,46
260,46
270,47
280,48
290,50
300,50
310,51
320,54
330,55
340,56
350,58
360,58
370,60
380,61
390,61
400,62
410,62
420,64
430,65
440,67
450,67
460,70
470,70
480,72
490,73
500,75
510,75
520,77
530,77
540,78
550,79
560,79
570,80
580,81
590,82
600,82
610,84
620,84
630,86
640,86
650,88
660,89
670,90
680,90
690,91
700,91
710,92
720,92
730,92
740,93
750,94
760,94
770,94
780,95
790,95
800,96
810,96
820,96
830,97
840,97
850,99
860,99
870,99
880,100
890,102
900,103
910,104
920,105
930,106
940,107
950,107
960,108
970,109
980,110
990,110
1000,110
10,3
20,7
30,10
40,13
50,16
60,19
70,20
80,23
90,25
100,27
110,27
120,29
130,30
140,34
150,35
160,38
170,39
180,42
190,44
200,46
210,47
220,49
230,51
240,54
250,55
260,56
270,58
280,58
290,59
300,60
310,62
320,63
330,63
340,63
350,65
360,68
370,69
380,69
390,69
400,71
410,72
420,73
430,74
440,75
450,75
460,76
470,76
480,77
490,78
500,79
510,81
520,82
530,82
540,83
550,84
560,86
570,86
580,88
590,88
600,88
610,89
620,90
630,91
640,92
650,92
660,93
670,94
680,95
690,95
700,97
710,98
720,100
730,100
740,101
750,101
760,102
770,104
780,106
790,107
800,107
810,108
820,109
830,109
840,110
850,111
860,112
870,112
880,114
890,114
900,114
910,115
920,116
930,117
940,118
950,118
960,122
970,122
980,123
990,124
1000,124
10,4
20,5
30,8
40,10
50,17
60,19
70,22
80,23
90,27
100,29
110,32
120,35
130,37
140,41
150,43
160,46
170,49
180,52
190,54
200,56
210,59
220,62
230,64
240,67
250,69
260,71
270,73
280,75
290,76
300,77
310,79
320,79
330,80
340,82
350,85
360,86
370,88
380,89
390,90
400,90
410,90
420,93
430,95
440,99
450,99
460,99
470,102
480,105
490,105
500,105
510,106
520,106
530,108
540,109
550,109
560,111
570,111
580,111
590,113
600,115
610,115
620,115
630,117
640,120
650,121
660,123
670,123
680,127
690,127
700,128
710,129
720,129
730,132
740,135
750,138
760,139
770,140
780,142
790,145
800,145
810,147
820,149
830,151
840,153
850,153
860,153
870,154
880,154
890,155
900,156
910,156
920,156
930,157
940,157
950,157
960,158
970,159
980,160
990,161
1000,162
