numParticles,clusterRadius
10,3
20,5
30,6
40,6
50,7
60,8
70,8
80,9
90,9
100,11
110,11
120,11
130,12
140,12
150,12
160,13
170,13
180,14
190,14
200,15
210,15
220,16
230,16
240,17
250,17
260,17
270,18
280,19
290,20
300,21
310,22
320,22
330,23
340,23
350,25
360,25
370,25
380,25
390,25
400,25
410,25
420,26
430,26
440,26
450,27
460,27
470,27
480,28
490,28
500,28
510,28
520,28
530,28
540,28
550,28
560,28
570,28
580,29
590,29
600,29
610,30
620,30
630,30
640,31
650,31
660,31
670,31
680,31
690,31
700,32
710,33
720,33
730,33
740,34
750,34
760,34
770,34
780,34
790,34
800,34
810,34
820,34
830,35
840,35
850,35
860,35
870,35
880,35
890,36
900,36
910,37
920,37
930,37
940,37
950,37
960,37
970,37
980,37
990,37
1000,39
10,2
20,3
30,5
40,5
50,7
60,8
70,10
80,13
90,13
100,14
110,14
120,14
130,16
140,16
150,16
160,17
170,17
180,17
190,17
200,18
210,19
220,20
230,20
240,20
250,20
260,20
270,20
280,21
290,21
300,22
310,22
320,23
330,23
340,23
350,24
360,24
370,24
380,24
390,25
400,26
410,26
420,26
430,26
440,26
450,26
460,27
470,27
480,27
490,27
500,27
510,27
520,28
530,28
540,28
550,28
560,28
570,28
580,29
590,30
600,31
610,32
620,32
630,32
640,32
650,32
660,32
670,32
680,32
690,32
700,32
710,33
720,33
730,33
740,33
750,33
760,34
770,34
780,35
790,35
800,35
810,35
820,35
830,35
840,35
850,35
860,36
870,36
880,36
890,36
900,36
910,36
920,36
930,36
940,37
950,37
960,38
970,38
980,38
990,39
1000,39
10,2
20,5
30,5
40,7
50,8
60,9
70,10
80,10
90,10
100,11
110,12
120,13
130,15
140,15
150,15
160,16
170,16
180,16
190,17
200,17
210,17
220,18
230,18
240,18
250,18
260,19
270,20
280,21
290,21
300,21
310,22
320,24
330,24
340,24
350,25
360,26
370,26
380,26
390,26
400,26
410,27
420,27
430,27
440,27
450,27
460,28
470,28
480,28
490,28
500,29
510,29
520,29
530,29
540,29
550,29
560,30
570,30
580,30
590,30
600,30
610,30
620,30
630,30
640,31
650,31
660,32
670,32
680,33
690,33
700,33
710,33
720,33
730,34
740,34
750,34
760,34
770,34
780,34
790,34
800,34
810,34
820,35
830,36
840,36
850,36
860,36
870,37
880,37
890,37
900,37
910,37
920,37
930,37
940,37
950,37
960,37
970,37
980,37
990,37
1000,38
10,4
20,5
30,7
40,8
50,9
60,10
70,11
80,11
90,11
100,12
110,12
120,12
130,13
140,13
150,14
160,15
170,16
180,16
190,16
200,17
210,17
220,18
230,18
240,18
250,18
260,19
270,19
280,19
290,20
300,20
310,20
320,20
330,21
340,23
350,23
360,23
370,23
380,24
390,24
400,24
410,25
420,25
430,25
440,25
450,25
460,25
470,26
480,27
490,28
500,28
510,28
520,28
530,28
540,29
550,29
560,30
570,30
580,31
590,31
600,32
610,32
620,32
630,32
640,32
650,32
660,32
670,32
680,33
690,34
700,34
710,34
720,34
730,35
740,35
750,36
760,37
770,38
780,38
790,38
800,38
810,38
820,38
830,38
840,39
850,39
860,39
870,39
880,40
890,41
900,41
910,42
920,42
930,43
940,43
950,43
960,43
970,43
980,44
990,44
1000,45
10,4
20,5
30,6
40,7
50,7
60,8
70,8
80,9
90,10
100,10
110,11
120,12
130,14
140,14
150,14
160,16
170,16
180,17
190,17
200,17
210,18
220,18
230,18
240,18
250,18
260,19
270,20
280,20
290,20
300,21
310,21
320,21
330,21
340,22
350,23
360,23
370,23
380,23
390,23
400,24
410,24
420,24
430,24
440,24
450,24
460,24
470,24
480,25
490,25
500,25
510,25
520,26
530,26
540,26
550,27
560,27
570,27
580,27
590,27
600,28
610,28
620,28
630,28
640,28
650,29
660,29
670,29
680,29
690,30
700,31
710,31
720,31
730,31
740,31
750,31
760,31
770,31
780,31
790,31
800,31
810,31
820,32
830,33
840,33
850,33
860,33
870,33
880,33
890,33
900,33
910,33
920,34
930,34
940,34
950,34
960,35
970,35
980,35
990,35
1000,35
