numParticles,clusterRadius
110,51
120,53
130,54
140,55
150,55
160,55
170,57
180,57
190,57
200,57
210,59
220,60
230,60
240,62
250,62
260,63
270,63
280,63
290,63
300,63
310,65
320,66
330,67
340,68
350,68
360,69
370,69
380,70
390,71
400,71
410,71
420,72
430,72
440,72
450,72
460,73
470,73
480,73
490,73
500,74
510,74
520,74
530,74
540,75
550,75
560,75
570,75
580,75
590,76
600,76
610,76
620,77
630,77
640,77
650,77
660,77
670,77
680,77
690,77
700,77
710,77
720,78
730,79
740,79
750,79
760,79
770,80
780,80
790,80
800,81
810,82
820,82
830,82
840,82
850,82
860,82
870,82
880,82
890,83
900,83
910,83
920,84
930,84
940,84
950,84
960,84
970,85
980,85
990,85
1000,86
1010,86
1020,86
1030,86
1040,86
1050,87
1060,87
1070,89
1080,89
1090,89
1100,90
1110,91
1120,91
1130,93
1140,93
1150,94
1160,94
1170,94
1180,95
1190,95
1200,96
1210,97
1220,98
1230,98
1240,99
1250,101
1260,102
1270,103
1280,103
1290,103
1300,103
1310,103
1320,103
1330,103
1340,103
1350,104
1360,104
1370,104
1380,105
1390,105
1400,105
1410,105
1420,105
1430,106
1440,106
1450,106
1460,106
1470,106
1480,106
1490,106
1500,107
1510,107
1520,107
1530,107
1540,107
1550,108
1560,108
1570,108
1580,108
1590,108
1600,109
1610,109
1620,109
1630,109
1640,110
1650,110
1660,110
1670,110
1680,110
1690,110
1700,111
1710,111
1720,111
1730,111
1740,112
1750,112
1760,112
1770,112
1780,113
1790,113
1800,113
1810,114
1820,114
1830,114
1840,114
1850,114
1860,114
1870,114
1880,114
1890,114
1900,114
1910,115
1920,115
1930,116
1940,116
1950,116
1960,117
1970,118
1980,118
1990,118
2000,118
2010,118
2020,118
2030,119
2040,119
2050,120
2060,121
2070,122
2080,122
2090,122
2100,123
2110,124
2120,124
2130,124
2140,125
2150,126
2160,126
2170,126
2180,126
2190,126
2200,126
2210,126
2220,126
2230,127
2240,127
2250,127
2260,127
2270,127
2280,128
2290,128
2300,128
2310,128
2320,129
2330,129
2340,129
2350,129
2360,129
2370,130
2380,131
2390,131
2400,131
2410,131
2420,131
2430,131
2440,131
2450,131
2460,131
2470,131
2480,131
2490,131
2500,131
2510,131
2520,131
2530,132
2540,132
2550,132
2560,132
2570,132
2580,132
2590,133
2600,133
2610,133
2620,133
2630,134
2640,134
2650,134
2660,134
2670,134
2680,134
2690,135
2700,135
2710,135
2720,135
2730,135
2740,135
2750,136
2760,137
2770,137
2780,138
2790,138
2800,138
2810,139
2820,140
2830,140
2840,140
2850,140
2860,140
2870,140
2880,140
2890,140
2900,140
2910,140
2920,140
2930,141
2940,141
2950,141
2960,141
2970,141
2980,141
2990,142
3000,142
