numParticles,clusterRadius
110,12
120,17
130,57
140,60
150,70
160,70
170,70
180,70
190,70
200,72
210,72
220,72
230,72
240,72
250,72
260,72
270,72
280,72
290,72
300,73
310,73
320,73
330,73
340,74
350,74
360,74
370,74
380,74
390,74
400,75
410,75
420,75
430,75
440,75
450,75
460,75
470,75
480,75
490,75
500,75
510,76
520,76
530,76
540,76
550,76
560,76
570,76
580,76
590,76
600,76
610,76
620,76
630,76
640,76
650,76
660,76
670,77
680,77
690,78
700,78
710,78
720,78
730,78
740,78
750,78
760,78
770,78
780,78
790,78
800,78
810,78
820,78
830,78
840,78
850,78
860,78
870,78
880,78
890,78
900,78
910,78
920,78
930,78
940,78
950,78
960,78
970,78
980,78
990,78
1000,78
1010,78
1020,79
1030,79
1040,79
1050,80
1060,80
1070,80
1080,80
1090,83
1100,83
1110,84
1120,84
1130,85
1140,85
1150,86
1160,87
1170,88
1180,89
1190,89
1200,89
1210,90
1220,91
1230,91
1240,91
1250,93
1260,93
1270,94
1280,94
1290,95
1300,97
1310,97
1320,99
1330,99
1340,99
1350,100
1360,100
1370,101
1380,102
1390,103
1400,104
1410,104
1420,104
1430,106
1440,106
1450,106
1460,106
1470,107
1480,107
1490,107
1500,107
1510,109
1520,110
1530,110
1540,110
1550,112
1560,112
1570,112
1580,114
1590,114
1600,114
1610,114
1620,114
1630,114
1640,114
1650,114
1660,115
1670,115
1680,118
1690,118
1700,118
1710,120
1720,120
1730,121
1740,122
1750,124
1760,125
1770,125
1780,125
1790,128
1800,128
1810,128
1820,129
1830,129
1840,130
1850,130
1860,130
1870,130
1880,130
1890,131
1900,132
1910,133
1920,133
1930,133
1940,133
1950,133
1960,134
1970,135
1980,135
1990,136
2000,137
2010,137
2020,138
2030,139
2040,141
2050,141
2060,141
2070,141
2080,141
2090,142
2100,142
2110,142
2120,142
2130,142
2140,143
2150,145
2160,145
2170,147
2180,147
2190,148
2200,148
2210,149
2220,149
2230,150
2240,150
2250,150
2260,150
2270,151
2280,151
2290,151
2300,151
2310,152
2320,153
2330,154
2340,155
2350,157
2360,157
2370,157
2380,158
2390,159
2400,159
2410,161
2420,161
2430,161
2440,162
2450,162
2460,163
2470,166
2480,166
2490,167
2500,167
2510,168
2520,168
2530,168
2540,169
2550,169
2560,169
2570,170
2580,171
2590,172
2600,172
2610,173
2620,174
2630,175
2640,176
2650,176
2660,177
2670,177
2680,177
2690,178
2700,179
2710,179
2720,180
2730,180
2740,181
2750,181
2760,181
2770,181
2780,181
2790,182
2800,183
2810,184
2820,185
2830,185
2840,185
2850,185
2860,186
2870,186
2880,186
2890,189
2900,190
2910,190
2920,190
2930,191
2940,192
2950,193
2960,193
2970,193
2980,193
2990,195
