numParticles,clusterRadius
10,3
20,5
30,6
40,7
50,7
60,9
70,10
80,10
90,11
100,12
110,13
120,13
130,13
140,14
150,15
160,15
170,16
180,16
190,17
200,17
210,18
220,18
230,18
240,19
250,19
260,20
270,20
280,20
290,21
300,22
310,23
320,24
330,24
340,24
350,25
360,25
370,26
380,26
390,27
400,27
410,27
420,29
430,29
440,30
450,30
460,30
470,31
480,31
490,32
500,32
510,33
520,33
530,33
540,33
550,34
560,34
570,35
580,35
590,35
600,36
610,36
620,36
630,37
640,37
650,38
660,38
670,39
680,40
690,40
700,40
710,40
720,42
730,42
740,42
750,42
760,42
770,43
780,43
790,43
800,44
810,45
820,46
830,46
840,46
850,46
860,46
870,46
880,47
890,47
900,47
910,47
920,47
930,48
940,48
950,49
960,49
970,49
980,50
990,50
1000,51
10,3
20,5
30,7
40,8
50,8
60,8
70,9
80,9
90,10
100,12
110,12
120,12
130,13
140,16
150,16
160,16
170,18
180,18
190,18
200,19
210,19
220,20
230,21
240,21
250,21
260,21
270,23
280,23
290,23
300,24
310,25
320,25
330,25
340,25
350,26
360,26
370,27
380,28
390,28
400,29
410,29
420,29
430,30
440,30
450,31
460,31
470,32
480,33
490,34
500,35
510,35
520,35
530,35
540,35
550,36
560,37
570,37
580,37
590,38
600,38
610,38
620,39
630,39
640,39
650,39
660,39
670,39
680,40
690,40
700,40
710,42
720,42
730,42
740,42
750,43
760,44
770,45
780,46
790,46
800,46
810,46
820,46
830,46
840,46
850,46
860,49
870,50
880,50
890,50
900,50
910,50
920,51
930,51
940,52
950,52
960,53
970,53
980,53
990,54
1000,54
10,3
20,5
30,7
40,7
50,9
60,9
70,9
80,11
90,13
100,15
110,16
120,16
130,18
140,19
150,19
160,19
170,22
180,23
190,26
200,26
210,27
220,27
230,28
240,29
250,30
260,31
270,32
280,33
290,33
300,34
310,36
320,36
330,36
340,36
350,37
360,38
370,39
380,41
390,41
400,42
410,42
420,42
430,43
440,43
450,43
460,43
470,43
480,44
490,44
500,44
510,44
520,44
530,45
540,46
550,48
560,49
570,49
580,49
590,50
600,50
610,50
620,50
630,50
640,50
650,50
660,50
670,50
680,50
690,51
700,51
710,51
720,52
730,52
740,52
750,52
760,53
770,53
780,53
790,54
800,54
810,54
820,55
830,55
840,55
850,55
860,56
870,56
880,56
890,56
900,56
910,56
920,56
930,57
940,57
950,57
960,57
970,58
980,58
990,59
1000,59
10,3
20,5
30,5
40,8
50,9
60,10
70,11
80,11
90,12
100,13
110,14
120,15
130,16
140,16
150,16
160,17
170,17
180,17
190,17
200,17
210,19
220,20
230,21
240,22
250,24
260,24
270,24
280,25
290,25
300,26
310,27
320,27
330,27
340,28
350,28
360,29
370,30
380,30
390,31
400,31
410,31
420,31
430,32
440,32
450,32
460,32
470,34
480,35
490,36
500,36
510,36
520,36
530,36
540,37
550,37
560,37
570,37
580,37
590,38
600,39
610,39
620,39
630,40
640,40
650,40
660,40
670,40
680,40
690,40
700,40
710,40
720,40
730,41
740,41
750,41
760,42
770,42
780,42
790,43
800,44
810,46
820,46
830,46
840,46
850,47
860,47
870,47
880,47
890,48
900,48
910,48
920,49
930,50
940,50
950,50
960,50
970,51
980,51
990,51
1000,51
10,3
20,4
30,6
40,7
50,8
60,9
70,9
80,10
90,11
100,11
110,11
120,12
130,13
140,14
150,14
160,15
170,15
180,16
190,17
200,18
210,18
220,18
230,19
240,19
250,19
260,19
270,20
280,21
290,21
300,22
310,23
320,23
330,24
340,24
350,25
360,25
370,26
380,26
390,27
400,27
410,28
420,29
430,29
440,29
450,29
460,31
470,31
480,31
490,33
500,33
510,35
520,36
530,36
540,36
550,36
560,36
570,36
580,36
590,36
600,36
610,36
620,37
630,37
640,37
650,37
660,37
670,38
680,40
690,40
700,40
710,40
720,40
730,41
740,41
750,41
760,41
770,42
780,42
790,42
800,43
810,43
820,43
830,44
840,44
850,44
860,44
870,45
880,45
890,45
900,45
910,46
920,47
930,47
940,47
950,47
960,47
970,47
980,47
990,47
1000,48
numParticles,clusterRadius
10,2
20,4
30,6
40,8
50,8
60,9
70,10
80,12
90,13
100,14
110,15
120,16
130,17
140,18
150,18
160,19
170,19
180,19
10,2
20,4
30,6
40,9
50,10
60,12
70,12
80,13
90,13
100,15
10,4
20,6
30,6
40,6
50,7
60,8
70,9
80,12
90,12
100,13
10,3
20,5
30,6
40,7
50,9
60,9
70,11
80,12
90,12
100,12
10,4
20,7
30,11
40,11
50,12
60,12
70,13
80,14
90,15
100,16
10,3
20,5
30,5
40,6
50,9
60,12
70,14
80,14
90,17
100,17
10,4
20,5
30,6
40,7
50,8
60,8
70,9
80,11
90,11
100,11
10,4
20,4
30,6
40,9
50,12
60,13
70,14
80,15
90,15
100,16
10,3
20,6
30,6
40,8
50,11
60,12
70,12
80,13
90,15
100,17
