numParticles,clusterSizes
10,3
20,5
30,5
40,8
50,8
60,8
70,8
80,9
90,9
100,10
110,12
120,13
130,14
140,14
150,15
160,18
170,18
180,20
190,20
200,20
210,20
220,20
230,20
240,20
250,20
260,20
270,21
280,22
290,25
300,26
310,26
320,26
330,26
340,26
350,27
360,27
370,27
380,28
390,29
400,29
410,29
420,29
430,29
440,30
450,30
460,30
470,31
480,31
490,31
500,31
510,31
520,32
530,32
540,33
550,33
560,33
570,33
580,33
590,33
600,33
610,34
620,35
630,36
640,37
650,39
660,39
670,39
680,39
690,40
700,40
710,40
720,41
730,41
740,41
750,42
760,43
770,43
780,44
790,44
800,44
810,44
820,45
830,47
840,47
850,48
860,48
870,48
880,48
890,48
900,48
910,49
920,50
930,52
940,53
950,53
960,53
970,53
980,54
990,54
1000,54
